"results_id";"start";"duration";"class";"steps";"mi";"aee";"tee";"met";"vmu"
529;"2015-06-27 01:00:00.00";60;"lying";0;0.00898;14.781;107.121;1.14;0
529;"2015-06-27 01:01:00.00";60;"lying";0;0.0116;19.236;112.071;1.18;0
529;"2015-06-27 01:02:00.00";60;"lying";0;0.0104;17.195;109.804;1.16;0
529;"2015-06-27 01:03:00.00";60;"lying";0;0.00904;14.883;107.234;1.14;0
529;"2015-06-27 01:04:00.00";60;"lying";0;0.00951;15.682;108.122;1.15;0
529;"2015-06-27 01:05:00.00";60;"lying";0;0.01867;31.257;125.428;1.31;11.472
529;"2015-06-27 01:06:00.00";60;"lying";0;0.00844;13.862;106.101;1.13;0
529;"2015-06-27 01:07:00.00";60;"lying";0;0.00813;13.335;105.515;1.12;0
529;"2015-06-27 01:08:00.00";60;"lying";0;0.00972;16.039;108.519;1.15;0
529;"2015-06-27 01:09:00.00";60;"lying";0;0.02799;47.105;143.037;1.48;164.232
529;"2015-06-27 01:10:00.00";60;"lying";0;0.03908;65.962;163.989;1.68;467.444
529;"2015-06-27 01:11:00.00";60;"lying";0;0.01731;28.945;122.859;1.29;133.36
529;"2015-06-27 01:12:00.00";60;"lying";0;0.00955;15.75;108.198;1.15;0
529;"2015-06-27 01:13:00.00";60;"lying";0;0.00338;5.259;96.541;1.04;0
529;"2015-06-27 01:14:00.00";60;"lying";0;0.00286;4.374;95.558;1.03;0
529;"2015-06-27 01:15:00.00";60;"lying";0;0.00328;5.088;96.352;1.03;0
529;"2015-06-27 01:16:00.00";60;"lying";0;0.00407;6.432;97.844;1.05;0
529;"2015-06-27 01:17:00.00";60;"lying";0;0.00859;14.118;106.384;1.13;10.063
529;"2015-06-27 01:18:00.00";60;"lying";0;0.00369;5.786;97.126;1.04;0
529;"2015-06-27 01:19:00.00";60;"lying";0;0.01796;30.05;124.087;1.3;6.242
529;"2015-06-27 01:20:00.00";60;"lying";0;0.00846;13.896;106.138;1.13;0
529;"2015-06-27 01:21:00.00";60;"lying";0;0.00846;13.896;106.138;1.13;1.444
529;"2015-06-27 01:22:00.00";60;"lying";0;0.00896;14.747;107.083;1.14;1.464
529;"2015-06-27 01:23:00.00";60;"lying";0;0.00777;12.723;104.835;1.11;0
529;"2015-06-27 01:24:00.00";60;"lying";0;0.01337;22.245;115.415;1.22;49.286
529;"2015-06-27 01:25:00.00";60;"lying";0;0.01014;16.753;109.312;1.16;5.022
529;"2015-06-27 01:26:00.00";60;"lying";0;0.00904;14.883;107.234;1.14;0
529;"2015-06-27 01:27:00.00";60;"lying";0;0.00906;14.917;107.272;1.14;0
529;"2015-06-27 01:28:00.00";60;"lying";0;0.01168;19.372;112.222;1.19;0
529;"2015-06-27 01:29:00.00";60;"lying";0;0.01366;22.738;115.963;1.22;105.259
529;"2015-06-27 01:30:00.00";60;"lying";0;0.00789;12.927;105.061;1.12;0
529;"2015-06-27 01:31:00.00";60;"lying";0;0.00763;12.485;104.57;1.11;0
529;"2015-06-27 01:32:00.00";60;"lying";0;0.01093;18.096;110.805;1.17;6.417
529;"2015-06-27 01:33:00.00";60;"lying";0;0.01067;17.654;110.314;1.17;20.781
529;"2015-06-27 01:34:00.00";60;"lying";0;0.00832;13.658;105.874;1.12;7.048
529;"2015-06-27 01:35:00.00";60;"lying";0;0.00865;14.22;106.497;1.13;0
529;"2015-06-27 01:36:00.00";60;"lying";0;0.00771;12.621;104.721;1.11;0
529;"2015-06-27 01:37:00.00";60;"lying";0;0.00952;15.699;108.141;1.15;0
